Descricao,Part Number,Quantidade
CAP CER 0.1UF 16V X7R 0603,CC0603KRX7R7BB104,4300
CAP CER 10UF 16V X5R 0603,GRM188R61C106KAALJ,1805
CAP CER 3300PF 50V X7R 0603,C0603C332K5RACTU,450
CAP CER 22UF 16V X5R 0603,CL10A226MO7JZNC,1125
CAP CER 2.2UF 16V X7R 0603,EMK107BB7225MA-T,450
CAP CER 1UF 16V X5R 0603,EMK107BJ105KA-T,1370
CAP CER 18PF 50V C0G/NP0 0603,GRM1885C1H180JA01J,450
CAP CER 1000PF 50V X7R 0603,GCM188R71H102KA37J,470
CAP CER 10000PF 50V X7R 0603,CC0603KRX7R9BB103,225
CAP CER 3.3uF 6V X5R 0603,C0603C335M9PACTU,225
DIODE ARRAY SCHOTTKY 30V SOT23-3,BAT54ALT1G,225
DIODE ARRAY SCHOTTKY 30V SOT23-3,BAT54CLT3G,225
DIODE SCHOTTKY 30V 3A MINI2,RBR3MM30ATR,675
LED GREEN DIFFUSED 1608 SMD 565nm,SML-D13FWT86C,1350
LED NEUTRAL WHITE 4000K 2SMD,QBLP674-IWM-NW,1350
LED UV 365nm 3.3V 30mA 0805,XZVS54S-9A,900
CONN RCPT 4POS 0.1 TIN PCB,SSW-104-01-T-S,225
"Connector Header Surface Mount 4 position 0.100"" (2.54mm)",TSM-104-01-T-SV,675
CONN PWR JACK 2.5X5.5MM SOLDER,PJ-006B,225
CONN HEADER 2POS 2.54mm HORIZ,61300211121,450
MICRO B SKT HORIZONTAL MID SMD,USB3155-30-A,225
CONN HEADER VERT 3POS 2.5MM Detent Lock,B3B-XH-A(LF)(SN),225
CONN HEADER SMD 6POS 2.54MM,M20-8770642R,85
FIXED IND 1UH 1.7A 100 MOHM SMD,LQM21PN1R0MGHL,470
FIXED IND 10UH 1.84A 49 MOHM SMD,CDRH74NP-100MC-B,225
MOSFET N-CH 30V 0.85A SOT23,BSH103,235,2475
MOSFET P-CH 30V 3.8A SOT23,DMP3099L-7,1575
RES SMD 100K OHM 1% 1/10W 0603,RC0603FR-07100KL,2195
RES SMD 22K OHM 1% 1/10W 0603,RC0603FR-0722KL,1125
RES SMD 47 OHM 1% 1/8W 0603,MCT06030C4709FP500,235
RES SMD 15K OHM 1% 1/10W 0603,RC0603FR-0715KL,225
RES SMD 4.7K OHM 1% 1/10W 0603,RC0603FR-074K7L,675
RES 12K OHM 1% 1/10W 0603,RMCF0603FT12K0,225
RES SMD 576 OHM 1% 1/10W 0603,RC0603FR-07576RL,450
RES SMD 475 OHM 0.1% 1/5W 0603,ERJ-PB3B4750V,450
RES SMD 143 OHM 0.1% 1/10W 0603,ERA-3AEB1430V,450
RES SMD 210 OHM 0.1% 1/5W 0603,ERJ-PB3B2100V,450
RES SMD 84.5 OHM 0.1% 1/10W 0603,RT0603BRD0784R5L,900
RES SMD 100 OHM 0.1% 1/10W 0603,ERA-3AEB101V,450
RES SMD 220 OHM 0.1% 1/10W 0603,RT0603BRD07220RL,450
RES SMD 95.3 OHM 0.1% 1/10W 0603,ERA-3AEB95R3V,450
RES SMD 47K OHM 1% 1/10W 0603,RC0603FR-0747KL,455
RES SMD 10.5K OHM 1% 1/8W 0603,RC0603FR-0710K5L,225
RES SMD 20K OHM 1% 1/10W 0603,RC0603FR-0720KL,225
RES SMD 7.5K OHM 1% 1/10W 0603,RC0603FR-077K5L,465
RES SMD 294K OHM 1% 1/10W 0603,RC0603FR-07294KL,475
RES SMD 75 OHM 1% 1/10W 0603,RC0603FR-0775RL,225
RES SMD 38.3 OHM 1% 1/10W 0603,RC0603FR-0738R3L,450
RES SMD 402K OHM 1% 1/10W 0603,RC0603FR-07402KL,225
RES SMD 9.31K OHM 1% 1/16W 0603,CPF0603F9K31C1,225
RES SMD 442K OHM 1% 1/16W 0603,ERJ-3EKF4423V,225
CONN RCPT 70POS 0.4MM SMD GOLD,DF40C(2.0)-70DS-0.4V(51),225
SENSOR OPTO TRANS 4MM REFL THPCB,TCRT1000,225
IC REG BUCK 5V 3A SYNC 16QFN,TPS62133RGTR,225
IC REG BUCK ADJ 3A SYNC 16FQN,TPS62130ARGTR,230
IC USB 2.0 SWITCH HS 10XQFN,NX3DV221GM,115,450
IC SW DISTRIBUTION SOT23-6L,MIC2039AYM6-TR,450
IC LI-ION/ POL CHARGE MGMT 20-QFN,BQ24103ARHLR,225
IC USB 2.0 HS HUB CTRLR 28QFN,USB2412-DZK-TR,225
TVS DIODE 5.5V 8.5V SOT563,DT1446-04V-7,230
IC MCU 16BIT 8K FLASH 28-TSSOP,MSP430F2132TPWR,225
IC PROXIMITY DETECTOR SOT23-6,MTCH101T-I/OT,225
IC TRNSLTR BIDIRECTIONAL 16TSSOP,74AVC4T245PW,118,230
CRYSTAL 24.0000MHZ 9PF SMD,TSX-3225 24.0000MF15X-AC3,225
IC REG BUCK ADJ 2A SYNC TSOT25,AP3429KTTR-G1,225
FIXED IND 22UH 580MA 650 MOHM,CB2518T220K,225
CAP CER 22PF 50V NP0 0603,06035A220GAT2A,225
RES SMD 470K OHM 1% 1/10W 0603,RC0603FR-07470KL,225
MOSFET N-CH 20V 3.4A SOT23,DMN2046U-7,225
DIODE GEN PURP 75V 300MA SOD323,1N4148WSTR,225
RES SMD 0.1 OHM 1% 1/2W 1210,RL1210FR-070R1L,230
IC LDO REG 3.3V 100MA SOT23-5,LP2981-33DBVR,150
